Test Class,Test Case,Status
test_steo_benchmark,test_steo_buildings_equals_aeo(record_property),active
test_steo_benchmark,test_steo_cmm_equals_aeo(record_property),active
test_steo_benchmark,test_steo_emm_equals_aeo(record_property),active
test_steo_benchmark,test_steo_industrial_equals_aeo(record_property),active
test_steo_benchmark,test_steo_integration_equals_aeo(record_property),active
test_steo_benchmark,test_steo_total_liquids_equals_aeo(record_property),active
test_steo_benchmark,test_steo_hsm_equals_aeo(record_property),active
test_steo_benchmark,test_steo_macro_equals_aeo(record_property),active
test_steo_benchmark,test_steo_ngmm_equals_aeo(record_property),inactive
test_nems_output_files_exist,test_gas_model_aimms_files_exist(record_property),active
test_nems_output_files_exist,test_coal_model_aimms_files_exist(record_property),active
test_nems_output_files_exist,test_restore_model_aimms_files_exist(record_property),active
test_nems_output_files_exist,test_hmm_model_aimms_files_exist(record_property),active
test_nems_output_files_exist,test_lfmm_gams_model_gdx_files_exist(record_property),active
test_nohup_output_file,test_nohup_contains_no_errors(record_property),active
test_nohup_output_file,test_nohup_contains_no_infeas(record_property),active
test_nohup_output_file,test_nohup_contains_no_duplicate_variable(record_property),active
test_nohup_output_file,test_convergence(record_property),inactive
test_total_energy,test_total_supply_equals_total_demand(record_property),active
test_lfmmlog_file,test_lfshell_err_logfile_existence(record_property),active
test_fuel_check,test_key_fuels_no_negative_quads_and_prices(record_property),active
