,FSC,"Note, discoveries BEFORE 1990",,,,,,,,,,,,,,
evaluation_unit,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
WGOM0002,1,0,3,12,13,18,32,28,19,25,8,2,1,0,0,0
WGOMDG02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WGOM0204,1,0,1,1,3,6,3,5,8,16,1,4,1,0,0,0
WGOM0408,0,0,1,0,0,2,0,2,4,1,1,0,0,0,0,0
WGOM0816,0,0,0,0,0,0,1,2,1,2,0,0,1,0,0,0
WGOM1624,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
WGOM2400,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CGOM0002,1,5,9,14,36,30,55,50,57,51,52,29,19,5,0,0
CGOMDG02,1,1,1,0,3,4,3,4,5,2,3,1,0,0,0,0
CGOM0204,0,1,2,4,6,16,11,14,18,19,15,17,4,1,0,0
CGOM0408,0,0,0,1,2,2,4,3,7,6,1,2,1,0,0,0
CGOM0816,0,0,1,0,0,2,1,1,3,1,5,2,1,0,0,0
CGOM1624,0,0,0,0,1,0,1,0,0,3,4,0,0,0,0,0
CGOM2400,0,0,0,0,1,0,1,0,2,0,2,6,1,0,0,1
EGOM0002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EGOM0204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGOM0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGOM0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGOM1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGOM2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGOML181,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
NATL0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NATL0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NATL0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATL0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATL0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATL0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATL0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATL0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SATL0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLST0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLST0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLST0800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNW0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNW0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCA0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCA0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCA0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCA1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCA0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCA0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCA0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCA0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCA0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCA0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCA1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
